PlayerID,Player_Name,Season,Routes_Run,Receptions,Rec_Yards,Target_Share,Touchdowns,YAC,ADoT,Catch_Pct,Total_EPA,Targets_Per_Route_Run,YPRR,Age,RZ_Rec,RZ_Tgt,RZ_Rec_Pct,RZ_Yds,RZ_Y_R,RZ_TD,RZ_Tgt_Pct,RZ_Rush_Att,RZ_Rush_Yds,RZ_Rush_TD,RZ_Rush_Pct,RZ_FL,RZ_G,RZ_FPTS,RZ_FPTS_G,RZ_Rost_Pct
TE0001,Travis Kelce,2022,605,110,1338,24.76%,12,657,7.07,72.37%,112.59,0.25,2.21,33,17,29,0.586,102,6.0,10,0.744,2,5,0,0.667,0,17,70.7,4.2,0.91
TE0002,T.J. Hockenson,2022,575,86,914,20.31%,6,413,7.60,66.67%,65.65,0.22,1.59,25,12,20,0.6,74,6.2,5,0.667,0,0,0,0.0,0,17,37.4,2.2,0.502
TE0003,Mark Andrews,2022,434,73,847,28.18%,5,243,9.78,64.60%,74.44,0.26,1.95,27,11,18,0.611,68,6.2,5,0.486,0,0,0,0.0,0,15,36.8,2.5,0.817
TE0004,Evan Engram,2022,525,73,766,17.07%,4,465,6.27,74.49%,58.67,0.19,1.46,28,4,9,0.444,30,7.5,2,0.75,1,0,0,1.0,0,17,15.0,0.9,0.079
TE0005,George Kittle,2022,442,60,765,18.94%,11,386,6.40,69.77%,68.94,0.19,1.73,29,6,13,0.462,48,8.0,3,1.0,0,0,0,0.0,0,15,22.8,1.5,0.901
TE0006,Pat Freiermuth,2022,436,63,732,18.81%,2,281,8.38,64.29%,52.11,0.22,1.68,24,6,12,0.5,61,10.2,2,0.8,0,0,0,0.0,0,15,18.1,1.2,0.117
TE0007,Dallas Goedert,2022,385,55,702,19.66%,3,420,6.14,79.71%,52.08,0.18,1.82,27,6,8,0.75,48,8.0,2,0.727,0,0,0,0.0,0,12,16.8,1.4,0.854
TE0008,David Njoku,2022,401,58,628,18.52%,4,332,6.69,72.50%,46.75,0.20,1.57,26,11,19,0.579,77,7.0,3,0.655,0,0,0,0.0,0,14,25.7,1.8,0.156
TE0009,Tyler Higbee,2022,431,72,620,20.89%,3,404,3.03,66.67%,44.16,0.25,1.44,29,8,15,0.533,61,7.6,3,0.938,0,0,0,0.0,0,16,24.1,1.5,0.017
TE0010,Dalton Schultz,2022,416,57,577,18.62%,5,204,7.19,64.04%,43.47,0.21,1.39,26,8,16,0.5,59,7.4,5,0.762,0,0,0,0.0,0,15,35.9,2.4,0.268
TE0011,Gerald Everett,2022,446,58,555,13.22%,4,326,5.64,66.67%,40.22,0.20,1.24,28,9,16,0.563,64,7.1,3,0.696,0,0,0,0.0,0,15,24.4,1.6,0.014
