PlayerID,Player_Name,Season,Routes_Run,Receptions,Rec_Yards,Target_Share,Touchdowns,YAC,ADoT,Catch_Pct,Total_EPA,Targets_Per_Route_Run,YPRR,Age,Games_Played,RZ_Rec,RZ_Tgt,RZ_Rec_Pct,RZ_Yds,RZ_Y_R,RZ_TD,RZ_Tgt_Pct,RZ_Rush_Att,RZ_Rush_Yds,RZ_Rush_TD,RZ_Rush_Pct,RZ_FL,RZ_G,RZ_FPTS,RZ_FPTS_G,RZ_Rost_Pct
TE0092,Brock Bowers,2024,592,112,1194,25.84%,5,596,6.03,73.20%,91.34,0.26,2.02,22,17,,,,,,,,,,,,,,,,
TE0038,Trey McBride,2024,539,111,1146,29.34%,2,513,6.14,75.51%,82.90,0.27,2.13,25,16,10,21,0.476,77,7.7,1,0.875,1,2,1,1.0,0,16,19.9,1.2,0.994
TE0005,George Kittle,2024,429,78,1106,20.66%,8,522,8.51,82.98%,95,0.22,2.58,31,15,18,21,0.857,135,7.5,8,0.955,0,0,0,0.0,0,15,61.5,4.1,0.901
TE0039,Jonnu Smith,2024,455,88,884,19.54%,8,510,4.88,79.28%,77.58,0.24,1.94,29,17,11,14,0.786,66,6.0,6,0.636,1,0,0,1.0,0,17,42.6,2.5,0.031
TE0001,Travis Kelce,2024,574,97,823,23.96%,3,341,6.64,72.93%,65.72,0.23,1.43,35,16,19,26,0.731,106,5.6,3,0.684,1,1,0,1.0,0,16,28.7,1.8,0.91
TE0062,Sam LaPorta,2024,451,60,726,16.90%,7,343,6.99,72.29%,59.27,0.18,1.61,23,16,11,19,0.579,80,7.3,5,0.792,0,0,0,0.0,0,16,38.0,2.4,0.953
TE0064,Tucker Kraft,2024,441,50,707,15.09%,7,456,5.34,71.43%,57.91,0.16,1.60,24,17,11,15,0.733,103,9.4,6,0.833,0,0,0,0.0,0,17,46.3,2.7,0.933
TE0015,Hunter Henry,2024,486,66,674,20.55%,2,268,7.03,68.04%,58.01,0.20,1.39,30,16,10,19,0.526,62,6.2,2,0.704,0,0,0,0.0,0,16,18.2,1.1,0.647
TE0003,Mark Andrews,2024,359,55,673,15.10%,11,188,10.59,79.71%,73.12,0.19,1.87,29,17,12,15,0.8,109,9.1,10,0.517,0,0,0,0.0,0,17,70.9,4.2,0.817
TE0029,Mike Gesicki,2024,414,65,665,13.22%,2,245,7.41,78.31%,51.17,0.20,1.61,29,17,5,9,0.556,33,6.6,1,0.5,0,0,0,0.0,0,17,9.3,0.5,0.04
