PlayerID,Player_Name,Season,Routes_Run,Receptions,Rec_Yards,Target_Share,Touchdowns,YAC,ADoT,Catch_Pct,Total_EPA,Targets_Per_Route_Run,YPRR
TE0038,Trey McBride,2025,699,126,1239,27.39%,11,583,6.66,74.56%,107.69,0.24,1.77
TE0030,Kyle Pitts,2025,549,88,928,22.74%,5,400,7.36,74.58%,68.40,0.21,1.69
TE0016,Juwan Johnson,2025,534,77,889,18.05%,3,362,7.58,75.49%,55.36,0.19,1.66
TE0001,Travis Kelce,2025,586,76,851,19.67%,5,424,6.81,70.37%,71.19,0.18,1.45
TE0118,Tyler Warren,2025,516,76,817,21.13%,4,474,5.38,67.86%,54.29,0.22,1.58
TE0010,Dalton Schultz,2025,507,82,777,19.17%,3,358,6.22,77.36%,59.15,0.21,1.53
TE0015,Hunter Henry,2025,466,60,768,18.05%,7,335,8.16,68.97%,72.37,0.19,1.65
TE0119,Harold Fannin,2025,442,72,731,21.36%,6,352,6.04,67.29%,41.91,0.24,1.65
TE0120,Colston Loveland,2025,391,58,713,16.53%,6,250,9.10,70.73%,66.43,0.21,1.82
TE0092,Brock Bowers,2025,402,64,680,23.63%,7,305,6.51,74.42%,50.64,0.21,1.69
TE0121,Oronde Gadsden,2025,404,49,664,14.29%,3,221,9.04,71.01%,45.70,0.17,1.64
TE0005,George Kittle,2025,292,57,628,21.63%,7,252,6.67,82.61%,55.85,0.24,2.15
TE0047,Jake Ferguson,2025,502,82,600,16.80%,8,307,4.66,80.39%,35.96,0.20,1.20
TE0007,Dallas Goedert,2025,431,60,591,20.05%,11,234,7.11,73.17%,50.72,0.19,1.37
TE0026,Cade Otton,2025,542,59,572,15.91%,1,309,5.17,72.84%,30.93,0.15,1.06
TE0063,Dalton Kincaid,2025,206,39,571,14.63%,5,259,9.49,79.59%,47.72,0.24,2.77
TE0020,Chigoziem Okonkwo,2025,419,56,560,14.91%,2,342,4.63,70.89%,33.99,0.19,1.34
TE0093,Brenton Strange,2025,320,46,540,15.79%,3,247,6.90,76.67%,41.45,0.19,1.69
TE0095,Theo Johnson,2025,441,45,528,16.74%,5,187,8.32,60.81%,42.41,0.17,1.20
TE0096,A.J. Barner,2025,368,52,519,14.95%,6,271,4.37,76.47%,55.05,0.18,1.41
TE0025,Zach Ertz,2025,373,50,504,20.22%,4,123,9.11,69.44%,39.73,0.19,1.35
TE0064,Tucker Kraft,2025,215,32,489,18.80%,6,344,4.57,72.73%,49.49,0.20,2.27
TE0062,Sam LaPorta,2025,249,40,489,18.63%,3,274,5.65,81.63%,45,0.20,1.96
TE0006,Pat Freiermuth,2025,316,41,486,10.34%,4,255,5.98,75.93%,41.09,0.17,1.54
TE0004,Evan Engram,2025,368,50,461,13.55%,1,302,4.36,65.79%,27.21,0.21,1.25
TE0002,T.J. Hockenson,2025,429,51,438,15.57%,3,219,4.98,77.27%,27.62,0.15,1.02
TE0003,Mark Andrews,2025,351,48,422,17.20%,5,101,7.26,68.57%,42.60,0.20,1.20
TE0014,Dawson Knox,2025,317,36,417,10.23%,4,183,6.71,73.47%,36.03,0.15,1.32
TE0033,Colby Parkinson,2025,253,43,408,10.71%,8,271,4.43,76.79%,33.40,0.22,1.61
TE0122,Mason Taylor,2025,360,44,369,18.47%,1,133,5.77,67.69%,25.44,0.18,1.03
TE0088,Darnell Washington,2025,217,31,364,9%,1,229,5.63,72.09%,26.42,0.20,1.68
TE0123,Gunnar Helm,2025,248,44,357,11.07%,2,159,5.51,80%,14.52,0.22,1.44
TE0013,Cole Kmet,2025,350,30,347,9.66%,2,149,8.77,62.50%,26.71,0.14,0.99
TE0024,Greg Dulcich,2025,148,26,335,13.36%,1,199,4.70,78.79%,20.61,0.22,2.26
TE0066,Michael Mayer,2025,225,35,328,12.89%,1,196,4.80,70%,20.87,0.22,1.46
TE0028,Isaiah Likely,2025,241,27,307,10.84%,1,117,7.97,75%,13.72,0.15,1.27
TE0029,Mike Gesicki,2025,253,28,307,9.42%,2,63,9.95,66.67%,34.03,0.17,1.21
TE0072,Elijah Higgins,2025,300,30,301,6%,0,209,4,81.08%,16.53,0.12,1
TE0124,Jake Tonges,2025,233,34,293,8.36%,5,143,5.07,73.91%,24.67,0.20,1.26
TE0008,David Njoku,2025,278,33,293,11.94%,4,160,5.27,68.75%,17.98,0.17,1.05
TE0018,Noah Fant,2025,218,34,288,7.39%,3,174,3.34,82.93%,-8.08,0.19,1.32
TE0037,Daniel Bellinger,2025,218,19,286,5.52%,2,132,9.38,73.08%,30.48,0.12,1.31
TE0027,Darren Waller,2025,165,24,283,14.35%,6,73,10.56,70.59%,38.51,0.21,1.72
TE0009,Tyler Higbee,2025,191,25,281,11.21%,3,140,6.06,69.44%,23.94,0.19,1.47
TE0021,Austin Hooper,2025,197,21,263,5.79%,2,86,9,80.77%,19.91,0.13,1.34
TE0065,Luke Musgrave,2025,221,24,252,6.74%,0,69,8.58,77.42%,13.50,0.14,1.14
TE0048,Tommy Tremble,2025,275,27,249,7.71%,2,164,4.41,72.97%,15.24,0.13,0.91
TE0125,Terrance Ferguson,2025,169,11,231,5.31%,3,40,18.64,44%,20.57,0.15,1.37
TE0039,Jonnu Smith,2025,290,38,222,10.34%,2,179,4.33,70.37%,16.42,0.19,0.77
TE0080,Davis Allen,2025,197,24,208,5.68%,3,137,3.94,72.73%,12.08,0.17,1.06
TE0043,Adam Trautman,2025,223,20,195,3.94%,1,104,4.61,86.96%,13,0.10,0.87
TE0094,Ja'Tavion Sanders,2025,232,29,190,9.19%,1,86,4.82,85.29%,7.83,0.15,0.82
TE0126,Jackson Hawes,2025,102,16,187,3.97%,3,91,7.32,84.21%,20.12,0.19,1.83
TE0075,Jeremy Ruckert,2025,196,23,179,6.14%,1,99,3.52,79.31%,12.60,0.15,0.91
TE0127,Elijah Arroyo,2025,160,15,179,7.67%,1,78,8.46,57.69%,7.11,0.16,1.12
TE0036,Noah Gray,2025,260,21,178,7.16%,0,107,6.46,56.76%,7.44,0.14,0.68
TE0128,Mitchell Evans,2025,132,19,171,5.21%,2,108,3.64,76%,16.57,0.19,1.30
TE0059,Tanner Hudson,2025,112,19,168,4.47%,2,83,4.96,79.17%,14.79,0.21,1.50
TE0052,Josh Oliver,2025,121,15,160,4.70%,4,102,3.37,78.95%,14.04,0.16,1.32
TE0084,Charlie Kolar,2025,101,10,142,3.69%,2,52,7.07,66.67%,13.52,0.15,1.41
TE0090,Julian Hill,2025,145,15,140,5.31%,0,111,3.30,75%,7.52,0.14,0.97
TE0086,Luke Schoonmaker,2025,140,14,132,3.79%,0,82,7.17,60.87%,8.67,0.16,0.94
TE0045,Mo Alie-Cox,2025,121,13,117,3.77%,1,77,4.65,65%,10.27,0.17,0.97
TE0114,Ben Sinnott,2025,105,11,114,3.23%,1,63,8.15,84.62%,5.73,0.12,1.09
TE0044,Ian Thomas,2025,91,13,114,2.91%,0,72,3.23,100%,5.07,0.14,1.25
TE0055,Johnny Mundt,2025,136,9,111,3.68%,0,76,5.26,47.37%,10.74,0.14,0.82
TE0042,Brock Wright,2025,133,14,108,6.53%,2,86,1,63.64%,9.27,0.17,0.81
TE0071,Drew Sample,2025,228,15,106,3.29%,1,109,-0.35,75%,5.09,0.09,0.46
TE0076,John Bates,2025,138,11,103,4.10%,1,68,3,68.75%,10.31,0.12,0.75
TE0012,Tyler Conklin,2025,88,7,101,2.16%,0,57,4.50,70%,1.43,0.11,1.15
TE0031,Will Dissly,2025,92,11,97,5.35%,0,66,4.50,68.75%,6.01,0.17,1.05
TE0067,Taysom Hill,2025,83,11,91,3.77%,0,86,3.38,68.75%,-11.17,0.19,1.10
TE0129,Tanner Conner,2025,117,9,91,4.82%,0,39,7.93,60%,5.57,0.13,0.78
TE0101,Brevyn Spann-Ford,2025,70,9,90,2.14%,1,33,8.23,69.23%,5.95,0.19,1.29
TE0103,Hunter Long,2025,130,12,85,5.38%,2,31,3.88,70.59%,10.06,0.13,0.65
TE0074,Luke Farrell,2025,128,11,85,2.55%,2,52,2.93,78.57%,5.13,0.11,0.66
TE0091,Grant Calcaterra,2025,121,9,76,3.18%,1,31,6.54,69.23%,6.04,0.11,0.63
TE0099,Cade Stover,2025,71,12,76,5.97%,0,52,1.94,75%,0.06,0.23,1.07
TE0130,John FitzPatrick,2025,121,12,72,3.53%,1,57,1.60,80%,5.75,0.12,0.60
TE0022,Foster Moreau,2025,72,7,59,2.75%,0,44,1,70%,4.74,0.14,0.82
TE0111,Quintin Morris,2025,71,6,55,2.05%,1,21,5,66.67%,4.57,0.13,0.77
TE0131,Anthony Firkser,2025,106,8,53,3.98%,0,12,3.50,80%,2.68,0.09,0.50
TE0073,Stone Smartt,2025,56,7,52,2.26%,0,27,4.67,77.78%,4.32,0.16,0.93
TE0100,Nate Adkins,2025,66,6,48,3.62%,1,26,3.18,54.55%,3.98,0.17,0.73
TE0132,Brenden Bates,2025,31,4,48,2%,0,10,7.80,80%,4.06,0.16,1.55
TE0107,Charlie Woerner,2025,134,8,48,1.73%,0,35,1.33,88.89%,0.23,0.07,0.36
TE0133,Jack Stoll,2025,52,6,46,2.18%,1,17,3.09,54.55%,3.72,0.21,0.88
TE0035,Kylen Granson,2025,88,7,40,1.94%,0,13,7.56,77.78%,1.21,0.10,0.45
TE0082,Josh Whyle,2025,73,5,36,2.97%,1,21,3.83,83.33%,3.44,0.08,0.49
TE0134,Albert Okwuegbunam,2025,24,5,36,10.71%,0,34,3,83.33%,2.28,0.25,1.50
TE0135,Keleki Latu,2025,41,4,35,2.74%,0,23,3,100%,5.32,0.10,0.85
TE0053,Eric Saubert,2025,70,4,31,2.34%,0,16,4,57.14%,2.97,0.10,0.44
TE0136,David Martin-Robinson,2025,32,4,30,1.13%,1,16,3.83,66.67%,1.27,0.19,0.94
TE0108,Ben Sims,2025,34,3,30,2.08%,0,5,12.17,50%,2.67,0.18,0.88
TE0137,James Mitchell,2025,12,3,28,2.31%,0,21,2.33,100%,2.24,0.25,2.33
TE0077,Andrew Ogletree,2025,59,4,27,1.28%,1,9,7,66.67%,3.04,0.10,0.46
TE0061,Durham Smythe,2025,80,4,25,1.13%,0,15,4,66.67%,1.01,0.08,0.31
